latitude,longitude,number,tp_mm,month
29.0,76.8,0,0.0,2020-03
29.0,76.9,0,0.0,2020-03
29.0,77.0,0,0.0,2020-03
29.0,77.1,0,0.0,2020-03
29.0,77.2,0,0.0,2020-03
29.0,77.3,0,0.0,2020-03
29.0,77.5,0,0.0,2020-03
28.9,76.7,0,0.0,2020-03
28.9,76.8,0,0.0,2020-03
28.9,76.8,0,0.0,2020-03
28.9,76.9,0,0.0,2020-03
28.9,77.0,0,0.0,2020-03
28.9,77.1,0,0.0,2020-03
28.9,77.2,0,0.0,2020-03
28.9,77.3,0,0.0,2020-03
28.9,77.5,0,0.0,2020-03
28.8,76.7,0,0.0,2020-03
28.8,76.8,0,0.0,2020-03
28.8,76.8,0,0.0,2020-03
28.8,76.9,0,0.0,2020-03
28.8,77.0,0,0.0,2020-03
28.8,77.1,0,0.0,2020-03
28.8,77.2,0,0.0,2020-03
28.8,77.3,0,0.0,2020-03
28.8,77.5,0,0.0,2020-03
28.7,76.7,0,0.0,2020-03
28.7,76.8,0,0.0,2020-03
28.7,76.8,0,0.0,2020-03
28.7,76.9,0,0.0,2020-03
28.7,77.0,0,0.0,2020-03
28.7,77.1,0,0.0,2020-03
28.7,77.2,0,0.0,2020-03
28.7,77.3,0,0.0,2020-03
28.7,77.5,0,0.0,2020-03
28.5,76.7,0,0.0,2020-03
28.5,76.8,0,0.0,2020-03
28.5,76.8,0,0.0,2020-03
28.5,76.9,0,0.0,2020-03
28.5,77.0,0,0.0,2020-03
28.5,77.1,0,0.0,2020-03
28.5,77.2,0,0.0,2020-03
28.5,77.3,0,0.0,2020-03
28.5,77.5,0,0.0,2020-03
28.4,76.7,0,0.0,2020-03
28.4,76.8,0,0.0,2020-03
28.4,76.8,0,0.0,2020-03
28.4,76.9,0,0.0,2020-03
28.4,77.0,0,0.0,2020-03
28.4,77.1,0,0.0,2020-03
28.4,77.2,0,0.0,2020-03
28.4,77.3,0,0.0,2020-03
28.4,77.5,0,0.0,2020-03
28.3,76.7,0,0.0,2020-03
28.3,76.8,0,0.0,2020-03
28.3,76.8,0,0.0,2020-03
28.3,76.9,0,0.0,2020-03
28.3,77.0,0,0.0,2020-03
28.3,77.1,0,0.0,2020-03
28.3,77.2,0,0.0,2020-03
28.3,77.3,0,0.0,2020-03
28.3,77.5,0,0.0,2020-03
28.3,76.7,0,0.0,2020-03
28.3,76.8,0,0.0,2020-03
28.3,76.8,0,0.0,2020-03
28.3,76.9,0,0.0,2020-03
28.3,77.0,0,0.0,2020-03
28.3,77.1,0,0.0,2020-03
28.3,77.2,0,0.0,2020-03
28.3,77.3,0,0.0,2020-03
28.3,77.5,0,0.0,2020-03
29.0,76.7,0,0.0,2020-04
29.0,76.8,0,0.0,2020-04
29.0,76.8,0,0.0,2020-04
29.0,76.9,0,0.0,2020-04
29.0,77.0,0,0.0,2020-04
29.0,77.1,0,0.0,2020-04
29.0,77.2,0,0.0,2020-04
29.0,77.3,0,0.0,2020-04
29.0,77.5,0,0.0,2020-04
28.9,76.7,0,0.0,2020-04
28.9,76.8,0,0.0,2020-04
28.9,76.8,0,0.0,2020-04
28.9,76.9,0,0.0,2020-04
28.9,77.0,0,0.0,2020-04
28.9,77.1,0,0.0,2020-04
28.9,77.2,0,0.0,2020-04
28.9,77.3,0,0.0,2020-04
28.9,77.5,0,0.0,2020-04
28.8,76.7,0,0.0,2020-04
28.8,76.8,0,0.0,2020-04
28.8,76.8,0,0.0,2020-04
28.8,76.9,0,0.0,2020-04
28.8,77.0,0,0.0,2020-04
28.8,77.1,0,0.0,2020-04
28.8,77.2,0,0.0,2020-04
28.8,77.3,0,0.0,2020-04
28.8,77.5,0,0.0,2020-04
28.7,76.7,0,0.0,2020-04
28.7,76.8,0,0.0,2020-04
28.7,76.8,0,0.0,2020-04
28.7,76.9,0,0.0,2020-04
28.7,77.0,0,0.0,2020-04
28.7,77.1,0,0.0,2020-04
28.7,77.2,0,0.0,2020-04
28.7,77.3,0,0.0,2020-04
28.7,77.5,0,0.0,2020-04
28.5,76.7,0,0.0,2020-04
28.5,76.8,0,0.0,2020-04
28.5,76.8,0,0.0,2020-04
28.5,76.9,0,0.0,2020-04
28.5,77.0,0,0.0,2020-04
28.5,77.1,0,0.0,2020-04
28.5,77.2,0,0.0,2020-04
28.5,77.3,0,0.0,2020-04
28.5,77.5,0,0.0,2020-04
28.4,76.7,0,0.0,2020-04
28.4,76.8,0,0.0,2020-04
28.4,76.8,0,0.0,2020-04
28.4,76.9,0,0.0,2020-04
28.4,77.0,0,0.0,2020-04
28.4,77.1,0,0.0,2020-04
28.4,77.2,0,0.0,2020-04
28.4,77.3,0,0.0,2020-04
28.4,77.5,0,0.0,2020-04
28.3,76.7,0,0.0,2020-04
28.3,76.8,0,0.0,2020-04
28.3,76.8,0,0.0,2020-04
28.3,76.9,0,0.0,2020-04
28.3,77.0,0,0.0,2020-04
28.3,77.1,0,0.0,2020-04
28.3,77.2,0,0.0,2020-04
28.3,77.3,0,0.0,2020-04
28.3,77.5,0,0.0,2020-04
28.3,76.7,0,0.0,2020-04
28.3,76.8,0,0.0,2020-04
28.3,76.8,0,0.0,2020-04
28.3,76.9,0,0.0,2020-04
28.3,77.0,0,0.0,2020-04
28.3,77.1,0,0.0,2020-04
28.3,77.2,0,0.0,2020-04
28.3,77.3,0,0.0,2020-04
28.3,77.5,0,0.0,2020-04
29.0,76.7,0,0.0,2020-05
29.0,76.8,0,0.0,2020-05
29.0,76.8,0,0.0,2020-05
29.0,76.9,0,0.0,2020-05
29.0,77.0,0,0.0,2020-05
29.0,77.1,0,0.0,2020-05
29.0,77.2,0,0.0,2020-05
29.0,77.3,0,0.0,2020-05
29.0,77.5,0,0.0,2020-05
28.9,76.7,0,0.0,2020-05
28.9,76.8,0,0.0,2020-05
28.9,76.8,0,0.0,2020-05
28.9,76.9,0,0.0,2020-05
28.9,77.0,0,0.0,2020-05
28.9,77.1,0,0.0,2020-05
28.9,77.2,0,0.0,2020-05
28.9,77.3,0,0.0,2020-05
28.9,77.5,0,0.0,2020-05
28.8,76.7,0,0.0,2020-05
28.8,76.8,0,0.0,2020-05
28.8,76.8,0,0.0,2020-05
28.8,76.9,0,0.0,2020-05
28.8,77.0,0,0.0,2020-05
28.8,77.1,0,0.0,2020-05
28.8,77.2,0,0.0,2020-05
28.8,77.3,0,0.0,2020-05
28.8,77.5,0,0.0,2020-05
28.7,76.7,0,0.0,2020-05
28.7,76.8,0,0.0,2020-05
28.7,76.8,0,0.0,2020-05
28.7,76.9,0,0.0,2020-05
28.7,77.0,0,0.0,2020-05
28.7,77.1,0,0.0,2020-05
28.7,77.2,0,0.0,2020-05
28.7,77.3,0,0.0,2020-05
28.7,77.5,0,0.0,2020-05
28.5,76.7,0,0.0,2020-05
28.5,76.8,0,0.0,2020-05
28.5,76.8,0,0.0,2020-05
28.5,76.9,0,0.0,2020-05
28.5,77.0,0,0.0,2020-05
28.5,77.1,0,0.0,2020-05
28.5,77.2,0,0.0,2020-05
28.5,77.3,0,0.0,2020-05
28.5,77.5,0,0.0,2020-05
28.4,76.7,0,0.0,2020-05
28.4,76.8,0,0.0,2020-05
28.4,76.8,0,0.0,2020-05
28.4,76.9,0,0.0,2020-05
28.4,77.0,0,0.0,2020-05
28.4,77.1,0,0.0,2020-05
28.4,77.2,0,0.0,2020-05
28.4,77.3,0,0.0,2020-05
28.4,77.5,0,0.0,2020-05
28.3,76.7,0,0.0,2020-05
28.3,76.8,0,0.0,2020-05
28.3,76.8,0,0.0,2020-05
28.3,76.9,0,0.0,2020-05
28.3,77.0,0,0.0,2020-05
28.3,77.1,0,0.0,2020-05
28.3,77.2,0,0.0,2020-05
28.3,77.3,0,0.0,2020-05
28.3,77.5,0,0.0,2020-05
28.3,76.7,0,0.0,2020-05
28.3,76.8,0,0.0,2020-05
28.3,76.8,0,0.0,2020-05
28.3,76.9,0,0.0,2020-05
28.3,77.0,0,0.0,2020-05
28.3,77.1,0,0.0,2020-05
28.3,77.2,0,0.0,2020-05
28.3,77.3,0,0.0,2020-05
28.3,77.5,0,0.0,2020-05
29.0,76.7,0,0.0,2020-06
29.0,76.8,0,0.0,2020-06
29.0,76.8,0,0.0,2020-06
29.0,76.9,0,0.0,2020-06
29.0,77.0,0,0.0,2020-06
29.0,77.1,0,0.0,2020-06
29.0,77.2,0,0.0,2020-06
29.0,77.3,0,0.0,2020-06
29.0,77.5,0,0.0,2020-06
28.9,76.7,0,0.0,2020-06
28.9,76.8,0,0.0,2020-06
28.9,76.8,0,0.0,2020-06
28.9,76.9,0,0.0,2020-06
28.9,77.0,0,0.0,2020-06
28.9,77.1,0,0.0,2020-06
28.9,77.2,0,0.0,2020-06
28.9,77.3,0,0.0,2020-06
28.9,77.5,0,0.0,2020-06
28.8,76.7,0,0.0,2020-06
28.8,76.8,0,0.0,2020-06
28.8,76.8,0,0.0,2020-06
28.8,76.9,0,0.0,2020-06
28.8,77.0,0,0.0,2020-06
28.8,77.1,0,0.0,2020-06
28.8,77.2,0,0.0,2020-06
28.8,77.3,0,0.0,2020-06
28.8,77.5,0,0.0,2020-06
28.7,76.7,0,0.0,2020-06
28.7,76.8,0,0.0,2020-06
28.7,76.8,0,0.0,2020-06
28.7,76.9,0,0.0,2020-06
28.7,77.0,0,0.0,2020-06
28.7,77.1,0,0.0,2020-06
28.7,77.2,0,0.0,2020-06
28.7,77.3,0,0.0,2020-06
28.7,77.5,0,0.0,2020-06
28.5,76.7,0,0.0,2020-06
28.5,76.8,0,0.0,2020-06
28.5,76.8,0,0.0,2020-06
28.5,76.9,0,0.0,2020-06
28.5,77.0,0,0.0,2020-06
28.5,77.1,0,0.0,2020-06
28.5,77.2,0,0.0,2020-06
28.5,77.3,0,0.0,2020-06
28.5,77.5,0,0.0,2020-06
28.4,76.7,0,0.0,2020-06
28.4,76.8,0,0.0,2020-06
28.4,76.8,0,0.0,2020-06
28.4,76.9,0,0.0,2020-06
28.4,77.0,0,0.0,2020-06
28.4,77.1,0,0.0,2020-06
28.4,77.2,0,0.0,2020-06
28.4,77.3,0,0.0,2020-06
28.4,77.5,0,0.0,2020-06
28.3,76.7,0,0.0,2020-06
28.3,76.8,0,0.0,2020-06
28.3,76.8,0,0.0,2020-06
28.3,76.9,0,0.0,2020-06
28.3,77.0,0,0.0,2020-06
28.3,77.1,0,0.0,2020-06
28.3,77.2,0,0.0,2020-06
28.3,77.3,0,0.0,2020-06
28.3,77.5,0,0.0,2020-06
28.3,76.7,0,0.0,2020-06
28.3,76.8,0,0.0,2020-06
28.3,76.8,0,0.0,2020-06
28.3,76.9,0,0.0,2020-06
28.3,77.0,0,0.0,2020-06
28.3,77.1,0,0.0,2020-06
28.3,77.2,0,0.0,2020-06
28.3,77.3,0,0.0,2020-06
28.3,77.5,0,0.0,2020-06
29.0,76.7,0,0.0,2020-07
29.0,76.8,0,0.0,2020-07
29.0,76.8,0,0.0,2020-07
29.0,76.9,0,0.0,2020-07
29.0,77.0,0,0.0,2020-07
29.0,77.1,0,0.0,2020-07
29.0,77.2,0,0.0,2020-07
29.0,77.3,0,0.0,2020-07
29.0,77.5,0,0.0,2020-07
28.9,76.7,0,0.0,2020-07
28.9,76.8,0,0.0,2020-07
28.9,76.8,0,0.0,2020-07
28.9,76.9,0,0.0,2020-07
28.9,77.0,0,0.0,2020-07
28.9,77.1,0,0.0,2020-07
28.9,77.2,0,0.0,2020-07
28.9,77.3,0,0.0,2020-07
28.9,77.5,0,0.0,2020-07
28.8,76.7,0,0.0,2020-07
28.8,76.8,0,0.0,2020-07
28.8,76.8,0,0.0,2020-07
28.8,76.9,0,0.0,2020-07
28.8,77.0,0,0.0,2020-07
28.8,77.1,0,0.0,2020-07
28.8,77.2,0,0.0,2020-07
28.8,77.3,0,0.0,2020-07
28.8,77.5,0,0.0,2020-07
28.7,76.7,0,0.0,2020-07
28.7,76.8,0,0.0,2020-07
28.7,76.8,0,0.0,2020-07
28.7,76.9,0,0.0,2020-07
28.7,77.0,0,0.0,2020-07
28.7,77.1,0,0.0,2020-07
28.7,77.2,0,0.0,2020-07
28.7,77.3,0,0.0,2020-07
28.7,77.5,0,0.0,2020-07
28.5,76.7,0,0.0,2020-07
28.5,76.8,0,0.0,2020-07
28.5,76.8,0,0.0,2020-07
28.5,76.9,0,0.0,2020-07
28.5,77.0,0,0.0,2020-07
28.5,77.1,0,0.0,2020-07
28.5,77.2,0,0.0,2020-07
28.5,77.3,0,0.0,2020-07
28.5,77.5,0,0.0,2020-07
28.4,76.7,0,0.0,2020-07
28.4,76.8,0,0.0,2020-07
28.4,76.8,0,0.0,2020-07
28.4,76.9,0,0.0,2020-07
28.4,77.0,0,0.0,2020-07
28.4,77.1,0,0.0,2020-07
28.4,77.2,0,0.0,2020-07
28.4,77.3,0,0.0,2020-07
28.4,77.5,0,0.0,2020-07
28.3,76.7,0,0.0,2020-07
28.3,76.8,0,0.0,2020-07
28.3,76.8,0,0.0,2020-07
28.3,76.9,0,0.0,2020-07
28.3,77.0,0,0.0,2020-07
28.3,77.1,0,0.0,2020-07
28.3,77.2,0,0.0,2020-07
28.3,77.3,0,0.0,2020-07
28.3,77.5,0,0.0,2020-07
28.3,76.7,0,0.0,2020-07
28.3,76.8,0,0.0,2020-07
28.3,76.8,0,0.0,2020-07
28.3,76.9,0,0.0,2020-07
28.3,77.0,0,0.0,2020-07
28.3,77.1,0,0.0,2020-07
28.3,77.2,0,0.0,2020-07
28.3,77.3,0,0.0,2020-07
28.3,77.5,0,0.0,2020-07
29.0,76.7,0,0.0,2020-08
29.0,76.8,0,0.0,2020-08
29.0,76.8,0,0.0,2020-08
29.0,76.9,0,0.0,2020-08
29.0,77.0,0,0.0,2020-08
29.0,77.1,0,0.0,2020-08
29.0,77.2,0,0.0,2020-08
29.0,77.3,0,0.0,2020-08
29.0,77.5,0,0.0,2020-08
28.9,76.7,0,0.0,2020-08
28.9,76.8,0,0.0,2020-08
28.9,76.8,0,0.0,2020-08
28.9,76.9,0,0.0,2020-08
28.9,77.0,0,0.0,2020-08
28.9,77.1,0,0.0,2020-08
28.9,77.2,0,0.0,2020-08
28.9,77.3,0,0.0,2020-08
28.9,77.5,0,0.0,2020-08
28.8,76.7,0,0.0,2020-08
28.8,76.8,0,0.0,2020-08
28.8,76.8,0,0.0,2020-08
28.8,76.9,0,0.0,2020-08
28.8,77.0,0,0.0,2020-08
28.8,77.1,0,0.0,2020-08
28.8,77.2,0,0.0,2020-08
28.8,77.3,0,0.0,2020-08
28.8,77.5,0,0.0,2020-08
28.7,76.7,0,0.0,2020-08
28.7,76.8,0,0.0,2020-08
28.7,76.8,0,0.0,2020-08
28.7,76.9,0,0.0,2020-08
28.7,77.0,0,0.0,2020-08
28.7,77.1,0,0.0,2020-08
28.7,77.2,0,0.0,2020-08
28.7,77.3,0,0.0,2020-08
28.7,77.5,0,0.0,2020-08
28.5,76.7,0,0.0,2020-08
28.5,76.8,0,0.0,2020-08
28.5,76.8,0,0.0,2020-08
28.5,76.9,0,0.0,2020-08
28.5,77.0,0,0.0,2020-08
28.5,77.1,0,0.0,2020-08
28.5,77.2,0,0.0,2020-08
28.5,77.3,0,0.0,2020-08
28.5,77.5,0,0.0,2020-08
28.4,76.7,0,0.0,2020-08
28.4,76.8,0,0.0,2020-08
28.4,76.8,0,0.0,2020-08
28.4,76.9,0,0.0,2020-08
28.4,77.0,0,0.0,2020-08
28.4,77.1,0,0.0,2020-08
28.4,77.2,0,0.0,2020-08
28.4,77.3,0,0.0,2020-08
28.4,77.5,0,0.0,2020-08
28.3,76.7,0,0.0,2020-08
28.3,76.8,0,0.0,2020-08
28.3,76.8,0,0.0,2020-08
28.3,76.9,0,0.0,2020-08
28.3,77.0,0,0.0,2020-08
28.3,77.1,0,0.0,2020-08
28.3,77.2,0,0.0,2020-08
28.3,77.3,0,0.0,2020-08
28.3,77.5,0,0.0,2020-08
28.3,76.7,0,0.0,2020-08
28.3,76.8,0,0.0,2020-08
28.3,76.8,0,0.0,2020-08
28.3,76.9,0,0.0,2020-08
28.3,77.0,0,0.0,2020-08
28.3,77.1,0,0.0,2020-08
28.3,77.2,0,0.0,2020-08
28.3,77.3,0,0.0,2020-08
28.3,77.5,0,0.0,2020-08
29.0,76.7,0,0.0,2020-09
29.0,76.8,0,0.0,2020-09
29.0,76.8,0,0.0,2020-09
29.0,76.9,0,0.0,2020-09
29.0,77.0,0,0.0,2020-09
29.0,77.1,0,0.0,2020-09
29.0,77.2,0,0.0,2020-09
29.0,77.3,0,0.0,2020-09
29.0,77.5,0,0.0,2020-09
28.9,76.7,0,0.0,2020-09
28.9,76.8,0,0.0,2020-09
28.9,76.8,0,0.0,2020-09
28.9,76.9,0,0.0,2020-09
28.9,77.0,0,0.0,2020-09
28.9,77.1,0,0.0,2020-09
28.9,77.2,0,0.0,2020-09
28.9,77.3,0,0.0,2020-09
28.9,77.5,0,0.0,2020-09
28.8,76.7,0,0.0,2020-09
28.8,76.8,0,0.0,2020-09
28.8,76.8,0,0.0,2020-09
28.8,76.9,0,0.0,2020-09
28.8,77.0,0,0.0,2020-09
28.8,77.1,0,0.0,2020-09
28.8,77.2,0,0.0,2020-09
28.8,77.3,0,0.0,2020-09
28.8,77.5,0,0.0,2020-09
28.7,76.7,0,0.0,2020-09
28.7,76.8,0,0.0,2020-09
28.7,76.8,0,0.0,2020-09
28.7,76.9,0,0.0,2020-09
28.7,77.0,0,0.0,2020-09
28.7,77.1,0,0.0,2020-09
28.7,77.2,0,0.0,2020-09
28.7,77.3,0,0.0,2020-09
28.7,77.5,0,0.0,2020-09
28.5,76.7,0,0.0,2020-09
28.5,76.8,0,0.0,2020-09
28.5,76.8,0,0.0,2020-09
28.5,76.9,0,0.0,2020-09
28.5,77.0,0,0.0,2020-09
28.5,77.1,0,0.0,2020-09
28.5,77.2,0,0.0,2020-09
28.5,77.3,0,0.0,2020-09
28.5,77.5,0,0.0,2020-09
28.4,76.7,0,0.0,2020-09
28.4,76.8,0,0.0,2020-09
28.4,76.8,0,0.0,2020-09
28.4,76.9,0,0.0,2020-09
28.4,77.0,0,0.0,2020-09
28.4,77.1,0,0.0,2020-09
28.4,77.2,0,0.0,2020-09
28.4,77.3,0,0.0,2020-09
28.4,77.5,0,0.0,2020-09
28.3,76.7,0,0.0,2020-09
28.3,76.8,0,0.0,2020-09
28.3,76.8,0,0.0,2020-09
28.3,76.9,0,0.0,2020-09
28.3,77.0,0,0.0,2020-09
28.3,77.1,0,0.0,2020-09
28.3,77.2,0,0.0,2020-09
28.3,77.3,0,0.0,2020-09
28.3,77.5,0,0.0,2020-09
28.3,76.7,0,0.0,2020-09
28.3,76.8,0,0.0,2020-09
28.3,76.8,0,0.0,2020-09
28.3,76.9,0,0.0,2020-09
28.3,77.0,0,0.0,2020-09
28.3,77.1,0,0.0,2020-09
28.3,77.2,0,0.0,2020-09
28.3,77.3,0,0.0,2020-09
28.3,77.5,0,0.0,2020-09
29.0,76.7,0,0.0,2020-10
29.0,76.8,0,0.0,2020-10
29.0,76.8,0,0.0,2020-10
29.0,76.9,0,0.0,2020-10
29.0,77.0,0,0.0,2020-10
29.0,77.1,0,0.0,2020-10
29.0,77.2,0,0.0,2020-10
29.0,77.3,0,0.0,2020-10
29.0,77.5,0,0.0,2020-10
28.9,76.7,0,0.0,2020-10
28.9,76.8,0,0.0,2020-10
28.9,76.8,0,0.0,2020-10
28.9,76.9,0,0.0,2020-10
28.9,77.0,0,0.0,2020-10
28.9,77.1,0,0.0,2020-10
28.9,77.2,0,0.0,2020-10
28.9,77.3,0,0.0,2020-10
28.9,77.5,0,0.0,2020-10
